ship_to,bill_no,date,terms_of_payment,state,grand_total,created_at,invoice_id,customer_id,cgst,sgst,igst,sub_total,total_quantity,invoice_status
HARI KAILASH READYMADE,57,2025-05-22,Cash,Interstate,28320.00,2025-09-08 18:04:14.05782,c9f24a01-5716-4a3a-aea3-ef9d51c90b40,449fdd0e-f3b5-4e5a-82ff-c4bdfe0d5cbc,0,0,4320,24000,60,Due
MUKESH TRADERS,79,2025-07-29,Cash,Interstate,46020.00,2025-09-08 18:07:27.251317,cbaa3367-c17b-4ed1-871c-ff309133bf63,288dbec6-b72b-4799-ab4c-21f4ba827306,0,0,7020,39000,130,Due
Rajiv Lalwani Test,27,2025-02-21,Credit 15 days,Interstate,28320.00,2025-09-08 17:52:16.504062,d31154d8-e3a8-40a9-9090-383a0d8fd587,4933235e-43c8-49cc-b823-a7f181528c6a,0,0,4320,24000,60,Overdue
MILAN FASHION,38,2025-03-25,Credit 30 days,State,35400.00,2025-09-08 17:57:35.483748,d6dbf219-c5fa-4a07-b87b-c97594399b68,61cb8de4-981d-400e-99ca-95c7eb614d98,2700,2700,0,30000,100,Due
Rahul Test,1,2025-09-18,30 Days,Interstate,2415.00,2025-09-07 00:00:00,d7a5b54d-3726-4123-b921-f225ee1280d2,0340f4e7-2c3f-4025-9e8e-52cba1b2dede,0,0,115,2300,100,Paid
Rajiv Lalwani Test,59,2025-05-28,Cash,Interstate,23010.00,2025-09-08 18:04:14.162837,d9783342-8c7e-4a54-b34f-5162ce4d76e8,4933235e-43c8-49cc-b823-a7f181528c6a,0,0,3510,19500,65,Due
NEW SR TRADERS,32,2025-03-07,Credit 30 days,State,24780.00,2025-09-08 17:57:35.141937,db70b4bd-2bc3-436f-aec4-fa21d30be0b9,544601ab-dd49-484b-88fc-93f2997e0946,1890,1890,0,21000,70,Paid
Rahul Sharma,18,2025-01-27,30 Days,State,11025.00,2025-09-20 16:11:39.184,e438d70d-4b0f-49c9-a52d-21cf345946f6,382b7a65-502c-479d-9128-b48836d3aa54,262.5,262.5,0,10500,35,Paid
RANJIT KUMAR,55,2025-05-16,Cash,Interstate,24780.00,2025-09-08 18:04:13.955912,ea572662-824d-484f-8540-3200c74a3511,41622d0f-07fb-4992-9e85-4bdff890bff9,0,0,3780,21000,70,Due
NATRAJ READYMADE,54,2025-05-13,Credit 15 days,State,30090.00,2025-09-08 18:04:13.905841,ea5ad2a8-c342-4c7a-8e6a-3ebede82ee85,411e7c34-37e6-4df7-a929-5b69fe4391ed,2295,2295,0,25500,85,Due
Rahul Test,4,2025-09-16,30 Days,Interstate,403410.00,2025-09-07 20:40:09.797577,ec829873-db38-4f74-84f5-762bbc946732,0340f4e7-2c3f-4025-9e8e-52cba1b2dede,0,0,19210,384200,1130,Overdue
HAJI FASHION,33,2025-03-10,Cash,Interstate,30680.00,2025-09-08 17:57:35.213742,f0ab12b3-d407-4dca-8fa3-7fda98e63fc9,56d2a576-0c54-458c-a4f6-204bdf88173f,0,0,4680,26000,65,Due
VINAYAK SAREE CENTRE,67,2025-06-23,Cash,Interstate,69030.00,2025-09-08 18:05:23.097792,f106eb7f-51eb-4f72-a848-fad37c3d0292,57f6cb32-f52d-4a71-b18e-6b906f399382,0,0,10530,58500,195,Due
SONIYA FASHION,40,2025-04-02,Credit 15 days,Interstate,23600.00,2025-09-08 18:02:25.309339,f21ec438-81ae-41b9-b47c-89d59be582b4,67aeefb6-0d5d-4c4a-ba06-81848a4b4e58,0,0,3600,20000,50,Due
NATVARLAL CHUNILAL,12,2025-01-10,Credit 15 days,State,24780.00,2025-09-08 17:50:01.901081,f26214b2-d79f-482f-9d05-cc1668f8d8df,236b695f-4f7d-4654-9eb2-ef8a321ef990,1890,1890,0,21000,70,Overdue
GURUNANAK DRESSES,43,2025-04-10,Cash,State,28320.00,2025-09-08 18:02:25.599772,f2f2b117-710c-4a87-92f4-48e1f02b5ccb,2217efe3-458e-4f6f-b7da-30fcefaae3a5,2160,2160,0,24000,80,Paid
NATVARLAL CHUNILAL,44,2025-04-13,Credit 15 days,Interstate,25960.00,2025-09-08 18:02:25.660648,fa580dd3-8a24-4e34-94de-a08ddfac14fb,236b695f-4f7d-4654-9eb2-ef8a321ef990,0,0,3960,22000,55,Paid
MUKESH TRADERS,47,2025-04-22,Cash,State,24780.00,2025-09-08 18:02:25.828858,fcea0160-00f4-49c8-9099-8f9120c03657,288dbec6-b72b-4799-ab4c-21f4ba827306,1890,1890,0,21000,70,Due
GURUNANAK DRESSES,11,2025-01-07,Cash,Interstate,21240.00,2025-09-08 17:50:01.834918,ff8b3161-394c-422f-8d62-5f56799f4bf5,2217efe3-458e-4f6f-b7da-30fcefaae3a5,0,0,3240,18000,55,Due
